state size: 2
action size: 2
/content/Reinforcement-Learning-Pytorch-Cartpole/POMDP/0-DQN/model.py:19: UserWarning: nn.init.xavier_uniform is now deprecated in favor of nn.init.xavier_uniform_.
  nn.init.xavier_uniform(m.weight)
1320 episode | score: 20.82 | epsilon: 0.86
1330 episode | score: 21.28 | epsilon: 0.86
1340 episode | score: 22.20 | epsilon: 0.86
1350 episode | score: 22.20 | epsilon: 0.85
1360 episode | score: 22.98 | epsilon: 0.85
1370 episode | score: 23.66 | epsilon: 0.85
1380 episode | score: 23.60 | epsilon: 0.85
1390 episode | score: 23.29 | epsilon: 0.85
1400 episode | score: 22.86 | epsilon: 0.85
1410 episode | score: 23.50 | epsilon: 0.85
1420 episode | score: 23.36 | epsilon: 0.85
1430 episode | score: 23.06 | epsilon: 0.84
1440 episode | score: 22.86 | epsilon: 0.84
1450 episode | score: 22.64 | epsilon: 0.84
1460 episode | score: 22.11 | epsilon: 0.84
1470 episode | score: 21.71 | epsilon: 0.84
1480 episode | score: 21.34 | epsilon: 0.84
1490 episode | score: 21.19 | epsilon: 0.84
1500 episode | score: 20.83 | epsilon: 0.84
1510 episode | score: 20.44 | epsilon: 0.84
1520 episode | score: 20.80 | epsilon: 0.84
1530 episode | score: 21.31 | epsilon: 0.83
1540 episode | score: 21.31 | epsilon: 0.83
1550 episode | score: 21.15 | epsilon: 0.83
1560 episode | score: 21.55 | epsilon: 0.83
1570 episode | score: 21.65 | epsilon: 0.83
1580 episode | score: 20.89 | epsilon: 0.83
1590 episode | score: 20.84 | epsilon: 0.83
1600 episode | score: 20.74 | epsilon: 0.83
1610 episode | score: 20.73 | epsilon: 0.83
1620 episode | score: 20.79 | epsilon: 0.82
1630 episode | score: 21.45 | epsilon: 0.82
1640 episode | score: 21.23 | epsilon: 0.82
1650 episode | score: 21.00 | epsilon: 0.82
1660 episode | score: 21.14 | epsilon: 0.82
1670 episode | score: 21.27 | epsilon: 0.82
1680 episode | score: 20.93 | epsilon: 0.82
1690 episode | score: 20.78 | epsilon: 0.82
1700 episode | score: 20.97 | epsilon: 0.82
1710 episode | score: 20.68 | epsilon: 0.81
1720 episode | score: 20.55 | epsilon: 0.81
1730 episode | score: 20.93 | epsilon: 0.81
1740 episode | score: 20.97 | epsilon: 0.81
1750 episode | score: 20.82 | epsilon: 0.81
1760 episode | score: 20.28 | epsilon: 0.81
1770 episode | score: 20.52 | epsilon: 0.81
1780 episode | score: 20.88 | epsilon: 0.81
1790 episode | score: 20.88 | epsilon: 0.81
1800 episode | score: 20.82 | epsilon: 0.80
1810 episode | score: 21.02 | epsilon: 0.80
1820 episode | score: 21.25 | epsilon: 0.80
1830 episode | score: 21.59 | epsilon: 0.80
1840 episode | score: 21.36 | epsilon: 0.80
1850 episode | score: 20.68 | epsilon: 0.80
1860 episode | score: 21.56 | epsilon: 0.80
1870 episode | score: 21.30 | epsilon: 0.80
1880 episode | score: 21.21 | epsilon: 0.80
1890 episode | score: 20.87 | epsilon: 0.79
1900 episode | score: 20.90 | epsilon: 0.79
1910 episode | score: 21.12 | epsilon: 0.79
1920 episode | score: 21.93 | epsilon: 0.79
1930 episode | score: 21.52 | epsilon: 0.79
1940 episode | score: 21.25 | epsilon: 0.79
1950 episode | score: 22.73 | epsilon: 0.79
1960 episode | score: 22.85 | epsilon: 0.79
1970 episode | score: 22.30 | epsilon: 0.78
1980 episode | score: 22.77 | epsilon: 0.78
1990 episode | score: 22.53 | epsilon: 0.78
2000 episode | score: 21.88 | epsilon: 0.78
2010 episode | score: 21.15 | epsilon: 0.78
2020 episode | score: 22.12 | epsilon: 0.78
2030 episode | score: 22.96 | epsilon: 0.78
2040 episode | score: 22.77 | epsilon: 0.78
2050 episode | score: 22.49 | epsilon: 0.78
2060 episode | score: 22.11 | epsilon: 0.77
2070 episode | score: 21.80 | epsilon: 0.77
2080 episode | score: 22.37 | epsilon: 0.77
2090 episode | score: 22.40 | epsilon: 0.77
2100 episode | score: 22.64 | epsilon: 0.77
2110 episode | score: 23.18 | epsilon: 0.77
2120 episode | score: 22.69 | epsilon: 0.77
2130 episode | score: 22.64 | epsilon: 0.77
2140 episode | score: 22.68 | epsilon: 0.76
2150 episode | score: 22.06 | epsilon: 0.76
2160 episode | score: 21.57 | epsilon: 0.76
2170 episode | score: 21.68 | epsilon: 0.76
2180 episode | score: 21.62 | epsilon: 0.76
2190 episode | score: 20.90 | epsilon: 0.76
2200 episode | score: 20.74 | epsilon: 0.76
2210 episode | score: 21.04 | epsilon: 0.76
2220 episode | score: 21.31 | epsilon: 0.76
2230 episode | score: 21.04 | epsilon: 0.76
2240 episode | score: 20.80 | epsilon: 0.75
2250 episode | score: 20.84 | epsilon: 0.75
2260 episode | score: 20.38 | epsilon: 0.75
2270 episode | score: 20.15 | epsilon: 0.75
2280 episode | score: 19.56 | epsilon: 0.75
2290 episode | score: 19.45 | epsilon: 0.75
2300 episode | score: 19.29 | epsilon: 0.75
2310 episode | score: 19.84 | epsilon: 0.75
2320 episode | score: 20.12 | epsilon: 0.75
2330 episode | score: 20.43 | epsilon: 0.75
2340 episode | score: 19.92 | epsilon: 0.74
2350 episode | score: 20.40 | epsilon: 0.74
2360 episode | score: 20.54 | epsilon: 0.74
2370 episode | score: 20.42 | epsilon: 0.74
2380 episode | score: 20.29 | epsilon: 0.74
2390 episode | score: 20.00 | epsilon: 0.74
2400 episode | score: 20.48 | epsilon: 0.74
2410 episode | score: 20.79 | epsilon: 0.74
2420 episode | score: 21.41 | epsilon: 0.73
2430 episode | score: 21.35 | epsilon: 0.73
2440 episode | score: 21.59 | epsilon: 0.73
2450 episode | score: 22.06 | epsilon: 0.73
2460 episode | score: 22.30 | epsilon: 0.73
2470 episode | score: 21.77 | epsilon: 0.73
2480 episode | score: 21.67 | epsilon: 0.73
2490 episode | score: 21.67 | epsilon: 0.73
2500 episode | score: 21.05 | epsilon: 0.73
2510 episode | score: 20.76 | epsilon: 0.73
2520 episode | score: 20.81 | epsilon: 0.72
2530 episode | score: 20.53 | epsilon: 0.72
2540 episode | score: 20.24 | epsilon: 0.72
2550 episode | score: 19.96 | epsilon: 0.72
2560 episode | score: 19.59 | epsilon: 0.72
2570 episode | score: 20.28 | epsilon: 0.72
2580 episode | score: 20.83 | epsilon: 0.72
2590 episode | score: 20.86 | epsilon: 0.72
2600 episode | score: 20.33 | epsilon: 0.72
2610 episode | score: 20.17 | epsilon: 0.71
2620 episode | score: 19.92 | epsilon: 0.71
2630 episode | score: 20.19 | epsilon: 0.71
2640 episode | score: 20.38 | epsilon: 0.71
2650 episode | score: 20.66 | epsilon: 0.71
2660 episode | score: 21.34 | epsilon: 0.71
2670 episode | score: 21.14 | epsilon: 0.71
2680 episode | score: 21.45 | epsilon: 0.71
2690 episode | score: 21.55 | epsilon: 0.71
2700 episode | score: 21.33 | epsilon: 0.70
2710 episode | score: 21.04 | epsilon: 0.70
2720 episode | score: 21.16 | epsilon: 0.70
2730 episode | score: 21.40 | epsilon: 0.70
2740 episode | score: 21.56 | epsilon: 0.70
2750 episode | score: 22.61 | epsilon: 0.70
2760 episode | score: 23.06 | epsilon: 0.70
2770 episode | score: 23.53 | epsilon: 0.70
2780 episode | score: 22.92 | epsilon: 0.69
2790 episode | score: 22.77 | epsilon: 0.69
2800 episode | score: 23.09 | epsilon: 0.69
2810 episode | score: 22.66 | epsilon: 0.69
2820 episode | score: 22.43 | epsilon: 0.69
2830 episode | score: 22.05 | epsilon: 0.69
2840 episode | score: 22.35 | epsilon: 0.69
2850 episode | score: 22.57 | epsilon: 0.69
2860 episode | score: 21.87 | epsilon: 0.69
2870 episode | score: 22.01 | epsilon: 0.68
2880 episode | score: 22.46 | epsilon: 0.68
2890 episode | score: 21.93 | epsilon: 0.68
2900 episode | score: 21.44 | epsilon: 0.68
2910 episode | score: 22.00 | epsilon: 0.68
2920 episode | score: 22.26 | epsilon: 0.68
2930 episode | score: 21.72 | epsilon: 0.68
2940 episode | score: 20.97 | epsilon: 0.68
2950 episode | score: 21.34 | epsilon: 0.68
2960 episode | score: 21.58 | epsilon: 0.67
2970 episode | score: 21.44 | epsilon: 0.67
2980 episode | score: 21.93 | epsilon: 0.67
2990 episode | score: 21.39 | epsilon: 0.67
3000 episode | score: 22.11 | epsilon: 0.67
3010 episode | score: 22.08 | epsilon: 0.67
3020 episode | score: 21.36 | epsilon: 0.67
3030 episode | score: 21.76 | epsilon: 0.67
3040 episode | score: 21.38 | epsilon: 0.67
