state size: 2
action size: 2
/content/Reinforcement-Learning-Pytorch-Cartpole/POMDP/1-DRQN/model.py:20: UserWarning: nn.init.xavier_uniform is now deprecated in favor of nn.init.xavier_uniform_.
  nn.init.xavier_uniform(m.weight)
1320 episode | score: 17.50 | epsilon: 0.10
1330 episode | score: 17.58 | epsilon: 0.10
1340 episode | score: 17.83 | epsilon: 0.10
1350 episode | score: 17.86 | epsilon: 0.10
1360 episode | score: 17.58 | epsilon: 0.10
1370 episode | score: 17.70 | epsilon: 0.10
1380 episode | score: 18.20 | epsilon: 0.10
1390 episode | score: 18.58 | epsilon: 0.10
1400 episode | score: 18.73 | epsilon: 0.10
1410 episode | score: 18.65 | epsilon: 0.10
1420 episode | score: 18.49 | epsilon: 0.10
1430 episode | score: 18.19 | epsilon: 0.10
1440 episode | score: 18.00 | epsilon: 0.10
1450 episode | score: 17.87 | epsilon: 0.10
1460 episode | score: 18.03 | epsilon: 0.10
1470 episode | score: 17.92 | epsilon: 0.10
1480 episode | score: 17.73 | epsilon: 0.10
1490 episode | score: 17.57 | epsilon: 0.10
1500 episode | score: 17.42 | epsilon: 0.10
1510 episode | score: 17.32 | epsilon: 0.10
1520 episode | score: 17.23 | epsilon: 0.10
1530 episode | score: 17.23 | epsilon: 0.10
1540 episode | score: 17.24 | epsilon: 0.10
1550 episode | score: 17.03 | epsilon: 0.10
1560 episode | score: 16.92 | epsilon: 0.10
1570 episode | score: 17.19 | epsilon: 0.10
1580 episode | score: 17.12 | epsilon: 0.10
1590 episode | score: 17.33 | epsilon: 0.10
1600 episode | score: 17.31 | epsilon: 0.10
1610 episode | score: 17.62 | epsilon: 0.10
1620 episode | score: 17.61 | epsilon: 0.10
1630 episode | score: 17.60 | epsilon: 0.10
1640 episode | score: 17.98 | epsilon: 0.10
1650 episode | score: 18.09 | epsilon: 0.10
1660 episode | score: 18.34 | epsilon: 0.10
1670 episode | score: 18.57 | epsilon: 0.10
1680 episode | score: 18.52 | epsilon: 0.10
1690 episode | score: 18.62 | epsilon: 0.10
1700 episode | score: 18.81 | epsilon: 0.10
1710 episode | score: 18.82 | epsilon: 0.10
1720 episode | score: 18.92 | epsilon: 0.10
1730 episode | score: 18.96 | epsilon: 0.10
1740 episode | score: 18.86 | epsilon: 0.10
1750 episode | score: 19.02 | epsilon: 0.10
1760 episode | score: 19.24 | epsilon: 0.10
1770 episode | score: 19.31 | epsilon: 0.10
1780 episode | score: 19.58 | epsilon: 0.10
1790 episode | score: 19.00 | epsilon: 0.10
1800 episode | score: 18.90 | epsilon: 0.10
1810 episode | score: 18.63 | epsilon: 0.10
1820 episode | score: 18.45 | epsilon: 0.10
1830 episode | score: 18.53 | epsilon: 0.10
1840 episode | score: 18.87 | epsilon: 0.10
1850 episode | score: 18.88 | epsilon: 0.10
1860 episode | score: 19.34 | epsilon: 0.10
1870 episode | score: 19.41 | epsilon: 0.10
1880 episode | score: 18.89 | epsilon: 0.10
1890 episode | score: 18.25 | epsilon: 0.10
1900 episode | score: 17.61 | epsilon: 0.10
1910 episode | score: 17.10 | epsilon: 0.10
1920 episode | score: 16.60 | epsilon: 0.10
1930 episode | score: 16.27 | epsilon: 0.10
1940 episode | score: 15.89 | epsilon: 0.10
1950 episode | score: 15.49 | epsilon: 0.10
1960 episode | score: 15.21 | epsilon: 0.10
1970 episode | score: 14.89 | epsilon: 0.10
1980 episode | score: 14.64 | epsilon: 0.10
1990 episode | score: 14.39 | epsilon: 0.10
2000 episode | score: 14.01 | epsilon: 0.10
2010 episode | score: 13.84 | epsilon: 0.10
2020 episode | score: 13.46 | epsilon: 0.10
2030 episode | score: 13.33 | epsilon: 0.10
2040 episode | score: 13.13 | epsilon: 0.10
2050 episode | score: 12.96 | epsilon: 0.10
2060 episode | score: 12.69 | epsilon: 0.10
